hhid,lat_dd_mod,lon_dd_mod,dist_road2,dist_popcenter2,dist_market,dist_border2,dist_admctr,af_bio_1,af_bio_8,af_bio_12,af_bio_13,af_bio_16,popdensity,hybrid_V8,ssa_aez09,afmnslp_pct,srtm_1k,twi,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetQ_avg,wetQ_avgstart,h2018_tot,h2018_wetQ,h2018_wetQstart,qstartavg,ndvi_avg,ndvi_max,h2018_ndvi_avg,h2018_ndvi_max
19002,5.101255833,7.382362691,2.4,9.4,56.3,524.2,9.4,264,251,2351,372,1022,6855,0,314,4,57,14,3,2,1,1,1,1,1,1760,795,16,2581,1147,16,23,0.226,0.307,0.193,0.213
19005,5.101255833,7.382362691,2.4,9.4,56.3,524.2,9.4,264,251,2351,372,1022,6855,0,314,4,57,14,3,2,1,1,1,1,1,1760,795,16,2581,1147,16,23,0.226,0.307,0.193,0.213
19006,5.101255833,7.382362691,2.4,9.4,56.3,524.2,9.4,264,251,2351,372,1022,6855,0,314,4,57,14,3,2,1,1,1,1,1,1760,795,16,2581,1147,16,23,0.226,0.307,0.193,0.213
19007,5.101255833,7.382362691,2.4,9.4,56.3,524.2,9.4,264,251,2351,372,1022,6855,0,314,4,57,14,3,2,1,1,1,1,1,1760,795,16,2581,1147,16,23,0.226,0.307,0.193,0.213
19008,5.101255833,7.382362691,2.4,9.4,56.3,524.2,9.4,264,251,2351,372,1022,6855,0,314,4,57,14,3,2,1,1,1,1,1,1760,795,16,2581,1147,16,23,0.226,0.307,0.193,0.213
19009,5.101255833,7.382362691,2.4,9.4,56.3,524.2,9.4,264,251,2351,372,1022,6855,0,314,4,57,14,3,2,1,1,1,1,1,1760,795,16,2581,1147,16,23,0.226,0.307,0.193,0.213
19010,5.101255833,7.382362691,2.4,9.4,56.3,524.2,9.4,264,251,2351,372,1022,6855,0,314,4,57,14,3,2,1,1,1,1,1,1760,795,16,2581,1147,16,23,0.226,0.307,0.193,0.213
19012,5.101255833,7.382362691,2.4,9.4,56.3,524.2,9.4,264,251,2351,372,1022,6855,0,314,4,57,14,3,2,1,1,1,1,1,1760,795,16,2581,1147,16,23,0.226,0.307,0.193,0.213
19014,5.103649965,7.340479164,5.9,11.7,49,510.5,11.7,264,251,2334,370,1018,17007,0,314,1,54,14,3,2,1,1,1,1,1,1756,790,16,2605,1127,16,23,0.222,0.3,0.175,0.198
19015,5.103649965,7.340479164,5.9,11.7,49,510.5,11.7,264,251,2334,370,1018,17007,0,314,1,54,14,3,2,1,1,1,1,1,1756,790,16,2605,1127,16,23,0.222,0.3,0.175,0.198
19017,5.103649965,7.340479164,5.9,11.7,49,510.5,11.7,264,251,2334,370,1018,17007,0,314,1,54,14,3,2,1,1,1,1,1,1756,790,16,2605,1127,16,23,0.222,0.3,0.175,0.198
19018,5.103649965,7.340479164,5.9,11.7,49,510.5,11.7,264,251,2334,370,1018,17007,0,314,1,54,14,3,2,1,1,1,1,1,1756,790,16,2605,1127,16,23,0.222,0.3,0.175,0.198
19019,5.103649965,7.340479164,5.9,11.7,49,510.5,11.7,264,251,2334,370,1018,17007,0,314,1,54,14,3,2,1,1,1,1,1,1756,790,16,2605,1127,16,23,0.222,0.3,0.175,0.198
19020,5.103649965,7.340479164,5.9,11.7,49,510.5,11.7,264,251,2334,370,1018,17007,0,314,1,54,14,3,2,1,1,1,1,1,1756,790,16,2605,1127,16,23,0.222,0.3,0.175,0.198
19023,5.103649965,7.340479164,5.9,11.7,49,510.5,11.7,264,251,2334,370,1018,17007,0,314,1,54,14,3,2,1,1,1,1,1,1756,790,16,2605,1127,16,23,0.222,0.3,0.175,0.198
19024,5.103649965,7.340479164,5.9,11.7,49,510.5,11.7,264,251,2334,370,1018,17007,0,314,1,54,14,3,2,1,1,1,1,1,1756,790,16,2605,1127,16,23,0.222,0.3,0.175,0.198
19025,5.10564427,7.392710352,1.5,1.9,2.4,529.5,1.9,264,251,2350,371,1021,3215,0,314,3,54,17,3,2,1,1,1,1,1,1762,797,16,2574,1150,16,23,0.226,0.307,0.194,0.213
19026,5.10564427,7.392710352,1.5,1.9,2.4,529.5,1.9,264,251,2350,371,1021,3215,0,314,3,54,17,3,2,1,1,1,1,1,1762,797,16,2574,1150,16,23,0.226,0.307,0.194,0.213
19028,5.10564427,7.392710352,1.5,1.9,2.4,529.5,1.9,264,251,2350,371,1021,3215,0,314,3,54,17,3,2,1,1,1,1,1,1762,797,16,2574,1150,16,23,0.226,0.307,0.194,0.213
19029,5.10564427,7.392710352,1.5,1.9,2.4,529.5,1.9,264,251,2350,371,1021,3215,0,314,3,54,17,3,2,1,1,1,1,1,1762,797,16,2574,1150,16,23,0.226,0.307,0.194,0.213
19031,5.10564427,7.392710352,1.5,1.9,2.4,529.5,1.9,264,251,2350,371,1021,3215,0,314,3,54,17,3,2,1,1,1,1,1,1762,797,16,2574,1150,16,23,0.226,0.307,0.194,0.213
19032,5.10564427,7.392710352,1.5,1.9,2.4,529.5,1.9,264,251,2350,371,1021,3215,0,314,3,54,17,3,2,1,1,1,1,1,1762,797,16,2574,1150,16,23,0.226,0.307,0.194,0.213
19033,5.10564427,7.392710352,1.5,1.9,2.4,529.5,1.9,264,251,2350,371,1021,3215,0,314,3,54,17,3,2,1,1,1,1,1,1762,797,16,2574,1150,16,23,0.226,0.307,0.194,0.213
19034,5.10564427,7.392710352,1.5,1.9,2.4,529.5,1.9,264,251,2350,371,1021,3215,0,314,3,54,17,3,2,1,1,1,1,1,1762,797,16,2574,1150,16,23,0.226,0.307,0.194,0.213
19035,5.10564427,7.392710352,1.5,1.9,2.4,529.5,1.9,264,251,2350,371,1021,3215,0,314,3,54,17,3,2,1,1,1,1,1,1762,797,16,2574,1150,16,23,0.226,0.307,0.194,0.213
