hhid,LON_DD_MOD,LAT_DD_MOD,mean,mean_1,mean_2,mean_3
"180117",8.139707476120000,10.371589729600000,0.940958727547463,0.042631865228349,0.064575505326502,0.034284716865797
"180118",8.139707476120000,10.371589729600000,0.940958727547463,0.042631865228349,0.064575505326502,0.034284716865797
"180119",9.807467140820000,9.807732949980000,0.938948477739873,0.238647656465694,0.103794921077292,0.30503636938872
"180120",8.139707476120000,10.371589729600000,0.940958727547463,0.042631865228349,0.064575505326502,0.034284716865797
"190001",8.490500384780002,11.898290056700001,1.55446155357361,0.999978546029736,0.989043235148198,40.1942238992157
"190003",8.490500384780002,11.898290056700001,1.55446155357361,0.999978546029736,0.989043235148198,40.1942238992157
"190005",8.490500384780002,11.898290056700001,1.55446155357361,0.999978546029736,0.989043235148198,40.1942238992157
"190006",8.490500384780002,11.898290056700001,1.55446155357361,0.999978546029736,0.989043235148198,40.1942238992157
"190007",8.490500384780002,11.898290056700001,1.55446155357361,0.999978546029736,0.989043235148198,40.1942238992157
"190008",8.490500384780002,11.898290056700001,1.55446155357361,0.999978546029736,0.989043235148198,40.1942238992157
"190009",8.490500384780002,11.898290056700001,1.55446155357361,0.999978546029736,0.989043235148198,40.1942238992157
"190010",8.490500384780002,11.898290056700001,1.55446155357361,0.999978546029736,0.989043235148198,40.1942238992157
"190011",8.529766607350000,11.987756078800000,3.0654612510435,1,1,147.96421965891
"190012",8.529766607350000,11.987756078800000,3.0654612510435,1,1,147.96421965891
"190013",8.529766607350000,11.987756078800000,3.0654612510435,1,1,147.96421965891
"190014",8.529766607350000,11.987756078800000,3.0654612510435,1,1,147.96421965891
"190015",8.500688737070000,11.925430351999999,1.93862935333405,0.999999999984087,0.999314717703578,70.6518469149353
"190016",8.529766607350000,11.987756078800000,3.0654612510435,1,1,147.96421965891
"190017",8.529766607350000,11.987756078800000,3.0654612510435,1,1,147.96421965891
"190018",8.529766607350000,11.987756078800000,3.0654612510435,1,1,147.96421965891
"190019",8.529766607350000,11.987756078800000,3.0654612510435,1,1,147.96421965891
"190020",8.529766607350000,11.987756078800000,3.0654612510435,1,1,147.96421965891
"190021",8.762610267539999,11.920139827900000,0.963582762466964,0.352701634171721,0.1301587422663,0.464609689888255
"190022",8.762610267539999,11.920139827900000,0.963582762466964,0.352701634171721,0.1301587422663,0.464609689888255
"190023",8.762610267539999,11.920139827900000,0.963582762466964,0.352701634171721,0.1301587422663,0.464609689888255
"190024",8.762610267539999,11.920139827900000,0.963582762466964,0.352701634171721,0.1301587422663,0.464609689888255
"190025",8.762610267539999,11.920139827900000,0.963582762466964,0.352701634171721,0.1301587422663,0.464609689888255
"190026",8.762610267539999,11.920139827900000,0.963582762466964,0.352701634171721,0.1301587422663,0.464609689888255
"190027",8.762610267539999,11.920139827900000,0.963582762466964,0.352701634171721,0.1301587422663,0.464609689888255
"190029",8.762610267539999,11.920139827900000,0.963582762466964,0.352701634171721,0.1301587422663,0.464609689888255
"190030",8.762610267539999,11.920139827900000,0.963582762466964,0.352701634171721,0.1301587422663,0.464609689888255
"190031",8.997959469910002,11.864287434900000,0.946713641127373,0.535226517481145,0.203633279297996,0.83054564744602
"190032",8.997959469910002,11.864287434900000,0.946713641127373,0.535226517481145,0.203633279297996,0.83054564744602
"190033",8.997959469910002,11.864287434900000,0.946713641127373,0.535226517481145,0.203633279297996,0.83054564744602
"190034",8.997959469910002,11.864287434900000,0.946713641127373,0.535226517481145,0.203633279297996,0.83054564744602
"190035",8.997959469910002,11.864287434900000,0.946713641127373,0.535226517481145,0.203633279297996,0.83054564744602
"190036",8.997959469910002,11.864287434900000,0.946713641127373,0.535226517481145,0.203633279297996,0.83054564744602
"190037",8.997959469910002,11.864287434900000,0.946713641127373,0.535226517481145,0.203633279297996,0.83054564744602
"190038",8.997959469910002,11.864287434900000,0.946713641127373,0.535226517481145,0.203633279297996,0.83054564744602
"190039",8.997959469910002,11.864287434900000,0.946713641127373,0.535226517481145,0.203633279297996,0.83054564744602
"190040",8.997959469910002,11.864287434900000,0.946713641127373,0.535226517481145,0.203633279297996,0.83054564744602
"190041",9.204919887450000,11.978901984600000,0.94342145996709,0.08886618230837,0.071094446884683,0.099503100512396
"190042",9.204919887450000,11.978901984600000,0.94342145996709,0.08886618230837,0.071094446884683,0.099503100512396
